"","metacell","x_proj","y_proj"
"1","1",119,92
"2","2",104,221
"3","3",178,161
"4","4",303,197
"5","5",323,72
"6","6",254,95
"7","7",190,27
"8","8",429,480
"9","9",351,477
"10","10",451,407
"11","11",264,494
"12","12",318,379
"13","13",268,418
"14","14",346,325
"15","15",84,479
"16","16",175,426
"17","17",173,575
"18","18",109,494
"19","19",262,303
"20","20",53,349
"21","21",173,288
"22","22",27,398
"23","23",130,390
"24","24",518,684
"25","25",455,725
"26","26",265,694
"27","27",457,570
"28","28",407,670
"29","29",598,489
"30","30",489,621
"31","31",542,538
"32","32",648,602
"33","33",517,501
"34","34",653,690
"35","35",571,601
"36","36",569,663
"37","37",239,836
"38","38",421,884
"39","39",206,780
"40","40",359,877
"41","41",393,775
"42","42",315,801
"43","43",408,827
"44","44",478,944
"45","45",897,557
"46","46",755,519
"47","47",870,513
"48","48",818,642
"49","49",797,591
"50","50",560,784
"51","51",569,868
"52","52",714,822
"53","53",800,711
"54","54",925,650
"55","55",859,766
