gene,HCT116_WT,H1299,A549,WI38,HCT16_DKO
INSIG1,Chol.Biosynthesis,NA,NA,NA,NA
IDI1,Chol.Biosynthesis,NA,NA,NA,NA
HMGCS1,Chol.Biosynthesis,NA,NA,NA,NA
HMGCR,Chol.Biosynthesis,NA,NA,NA,NA
MSMO1,Chol.Biosynthesis,NA,NA,NA,NA
EBP,Chol.Biosynthesis,NA,NA,NA,NA
FDFT1,Chol.Biosynthesis,NA,NA,NA,NA
ACSS2,Chol.Biosynthesis,NA,NA,NA,NA
DHCR7,Chol.Biosynthesis,NA,NA,NA,NA
MVD,Chol.Biosynthesis,NA,NA,NA,NA
KHDC1L,Chol.Biosynthesis,NA,NA,NA,NA
FASN,Chol.Biosynthesis,NA,NA,NA,NA
C14orf1,Chol.Biosynthesis,NA,NA,NA,NA
HSD17B7,Chol.Biosynthesis,NA,NA,NA,NA
PCSK9,Chol.Biosynthesis,NA,NA,NA,NA
MVK,Chol.Biosynthesis,NA,NA,NA,NA
LSS,Chol.Biosynthesis,NA,NA,NA,NA
SCD,Chol.Biosynthesis,NA,NA,NA,NA
FDPS,Chol.Biosynthesis,NA,NA,NA,NA
ACAT2,Chol.Biosynthesis,NA,NA,NA,NA
TMEM97,Chol.Biosynthesis,NA,NA,NA,NA
ACLY,Chol.Biosynthesis,NA,NA,NA,NA
DHCR24,Chol.Biosynthesis,NA,NA,NA,NA
EPCAM,Epithelial,NA,NA,NA,Epithelial
SPINT1,Epithelial,NA,NA,NA,Epithelial
BSPRY,Epithelial,NA,NA,NA,Epithelial
ZBED2,Epithelial,NA,NA,NA,Epithelial
FAM83H,Epithelial,NA,NA,NA,Epithelial
LAD1,Epithelial,NA,NA,NA,Epithelial
CRB3,Epithelial,NA,NA,NA,Epithelial
F11R,Epithelial,NA,NA,NA,Epithelial
KRTCAP3,Epithelial,NA,NA,NA,Epithelial
C1orf172,Epithelial,NA,NA,NA,Epithelial
RAB25,Epithelial,NA,NA,NA,Epithelial
S100A14,Epithelial,NA,NA,NA,Epithelial
LSR,Epithelial,NA,NA,NA,Epithelial
ESRP1,Epithelial,NA,NA,NA,Epithelial
CLDN7,Epithelial,NA,NA,NA,Epithelial
SPINT2,Epithelial,NA,NA,NA,Epithelial
hCPE-R;CLDN4,Epithelial,NA,NA,NA,Epithelial
ST14,Epithelial,NA,NA,NA,Epithelial
CDH3,Epithelial,NA,NA,NA,Epithelial
MAP7;AB073649,Epithelial,NA,NA,NA,Epithelial
ANXA3,Epithelial,NA,NA,NA,Epithelial
SCNN1A,Epithelial,NA,NA,NA,Epithelial
HOOK1,Epithelial,NA,NA,NA,Epithelial
MARVELD3,Epithelial,NA,NA,NA,Epithelial
RAB17,Epithelial,NA,NA,NA,Epithelial
ELMO3,Epithelial,NA,NA,NA,Epithelial
AP1M2,Epithelial,NA,NA,NA,Epithelial
TMC5,Epithelial,NA,NA,NA,Epithelial
IRF6,Epithelial,NA,NA,NA,Epithelial
SNHG8,NA,NA,NA,NA,DDR
SNHG15,NA,NA,NA,NA,DDR
C6orf48,NA,NA,NA,NA,DDR
PDRG1,NA,NA,NA,NA,DDR
PPP1R15A,NA,NA,NA,NA,DDR
TXNIP,NA,NA,NA,NA,DDR
DDIT3,NA,NA,NA,NA,DDR
ATF3,NA,NA,NA,NA,DDR
ATF4,NA,NA,NA,NA,DDR
GADD45A,NA,NA,NA,NA,DDR
SPARC,NA,NA,NA,Collagen,EMT/HOXB
CRIM1,NA,NA,NA,Collagen,EMT/HOXB
HOXB2,NA,NA,NA,NA,EMT/HOXB
HOXB3,NA,NA,NA,NA,EMT/HOXB
HOXB3-AS1,NA,NA,NA,NA,EMT/HOXB
HOXB4,NA,NA,NA,NA,EMT/HOXB
HOXB5,NA,NA,NA,NA,EMT/HOXB
HOXB6,NA,NA,NA,NA,EMT/HOXB
HOXB7,NA,NA,NA,NA,EMT/HOXB
HOXB8,NA,NA,NA,NA,EMT/HOXB
HOXB9,NA,NA,NA,NA,EMT/HOXB
ARHGAP29,NA,NA,NA,NA,EMT/HOXB
CD44,NA,NA,NA,NA,EMT/HOXB
DKK1,NA,NA,NA,NA,EMT/HOXB
ZEB1,NA,NA,NA,NA,EMT/HOXB
HHEX,NA,NA,NA,NA,EMT/HOXB
ISG15,NA,SERPINE1,NA,NA,IFN-I
TAP1,NA,NA,NA,NA,IFN-I
IRF7,NA,NA,NA,NA,IFN-I
EIF2AK2,NA,NA,NA,NA,IFN-I
PARP9,NA,NA,NA,NA,IFN-I
STAT1,NA,NA,NA,NA,IFN-I
OAS3,NA,NA,NA,NA,IFN-I
IFI44,NA,NA,NA,NA,IFN-I
IFIT1,NA,NA,NA,NA,IFN-I
MX1,NA,NA,NA,NA,IFN-I
SAMD9,NA,NA,NA,NA,IFN-I
OAS1,NA,NA,NA,NA,IFN-I
HLA-C,NA,NA,NA,NA,IFN-I
IFITM3,NA,NA,NA,NA,IFN-I
B2M,NA,NA,NA,NA,IFN-I
IFI27,NA,NA,NA,NA,IFN-I
IFI6,NA,NA,NA,NA,IFN-I
IFI35,NA,NA,NA,NA,IFN-I
BST2,NA,NA,NA,NA,IFN-I
LY6E,NA,NA,NA,NA,IFN-I
ID1,NA,ID,NA,NA,NA
ID2,NA,ID,NA,NA,NA
ID3,NA,ID,NA,NA,NA
SAMD11,NA,ID,NA,NA,NA
LGALS1,NA,ID,NA,NA,NA
HSBP1,NA,ID,NA,NA,NA
MYO10,NA,ID,NA,NA,NA
TMEM88,NA,ID,NA,NA,NA
ID4,NA,ID,NA,NA,NA
MYH14,NA,ID,NA,NA,NA
PPP2R2C,NA,ID,NA,NA,NA
PCDH7,NA,ID,NA,NA,NA
FOXP1,NA,ID,NA,NA,NA
IRX3,NA,ID,NA,NA,NA
GNG4,NA,ID,NA,NA,NA
KRT15,NA,ID,NA,NA,NA
KHDRBS3,NA,ID,NA,NA,NA
SERPINE1;BC005927;PAI1,NA,SERPINE1,NA,Collagen,NA
RBP7,NA,SERPINE1,NA,NA,NA
LINC01419,NA,SERPINE1,NA,NA,NA
RP11-108M9.4,NA,SERPINE1,NA,NA,NA
TMSB4X,NA,SERPINE1,NA,NA,NA
HIF1A-AS2,NA,SERPINE1,NA,NA,NA
LINC01234,NA,SERPINE1,NA,NA,NA
KRT8,NA,SERPINE1,NA,NA,NA
KRT18,NA,SERPINE1,NA,NA,NA
PVR,NA,SERPINE1,NA,NA,NA
PVRL2,NA,SERPINE1,NA,NA,NA
CLPTM1,NA,SERPINE1,NA,NA,NA
TGFB1,NA,SERPINE1,NA,NA,NA
TPTEP1,NA,SERPINE1,NA,NA,NA
MUC5AC,NA,NA,AKR1/mucin,NA,NA
MUC5AB,NA,NA,AKR1/mucin,NA,NA
MUC5B,NA,NA,AKR1/mucin,NA,NA
AGR2,NA,NA,AKR1/mucin,NA,NA
ALDH3A1,NA,NA,AKR1/mucin,NA,NA
AKR1C3,NA,NA,AKR1/mucin,NA,NA
AKR1B10,NA,NA,AKR1/mucin,NA,NA
AKR1C1,NA,NA,AKR1/mucin,NA,NA
AKR1C2,NA,NA,AKR1/mucin,NA,NA
BCAS1,NA,NA,AKR1/mucin,NA,NA
HNF1A-AS1,NA,NA,AKR1/mucin,NA,NA
CDH2,NA,NA,NA,Collagen,NA
FSTL1;MIR198,NA,NA,NA,Collagen,NA
FN1,NA,NA,NA,Collagen,NA
FBN1,NA,NA,NA,Collagen,NA
FBN2,NA,NA,NA,Collagen,NA
COL1A2,NA,NA,NA,Collagen,NA
COL4A1,NA,NA,NA,Collagen,NA
COL5A1,NA,NA,NA,Collagen,NA
COL5A2,NA,NA,NA,Collagen,NA
RTN4,NA,NA,NA,Collagen,NA
CALU,NA,NA,NA,Collagen,NA
LTBP2,NA,NA,NA,Collagen,NA
FST,NA,NA,NA,Collagen,NA
LMO7;AK123459,NA,NA,NA,Collagen,NA
IGFBP3,NA,NA,NA,Collagen,NA
LOX,NA,NA,NA,Collagen,NA
